id;author;spatial;metadata_created;metadata_modified;start_date;end_date;issued;display_name;language;created;format;rights;state;url;download_url;revision_id;pivot
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei8-1;BFS/OFS;Kantone;2020-06-25T02:14:04.336619;2020-06-29T23:32:00.142590;2019-12-30T01:00:00;2020-06-14T02:00:00;2020-06-23T02:00:00;Deaths per week by 5-year age group, sex and canton (CSV file);en;2020-06-25T02:14:04.642067;CSV;NonCommercialAllowed-CommercialWithPermission-ReferenceRequired;active;https://www.bfs.admin.ch/bfsstatic/dam/assets/13367764/master;https://www.bfs.admin.ch/bfsstatic/dam/assets/13367764/master;6adfbaa7-9f19-4935-b48c-c9a2b2be6a11;PIVOT
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei8-1;BFS/OFS;Schweiz;2020-06-25T02:14:04.336619;2020-07-01T01:48:46.907087;2019-12-30T01:00:00;2020-06-14T02:00:00;2020-06-23T02:00:00;Deaths per week by 5-year age group, sex and canton (CSV file);en;2020-06-25T02:14:04.642067;CSV;NonCommercialAllowed-CommercialWithPermission-ReferenceRequired;active;https://www.bfs.admin.ch/bfsstatic/dam/assets/13367764/master;https://www.bfs.admin.ch/bfsstatic/dam/assets/13367764/master;091c470a-87ce-4452-902a-d1085abbc728;PIVOT
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei8-1;BFS/OFS;Schweiz;2020-06-25T02:14:04.336619;2020-07-01T10:04:16.928436;2019-12-30T01:00:00;2020-06-14T02:00:00;2020-06-23T02:00:00;Deaths per week by 5-year age group, sex and canton (CSV file);en;2020-06-25T02:14:04.642067;CSV;NonCommercialAllowed-CommercialWithPermission-ReferenceRequired;active;https://www.bfs.admin.ch/bfsstatic/dam/assets/13367764/master;https://www.bfs.admin.ch/bfsstatic/dam/assets/13367764/master;091c470a-87ce-4452-902a-d1085abbc728;PIVOT
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei8;BFS/OFS;Schweiz;2020-07-02T11:27:40.632066;2020-07-02T15:06:32.772544;2019-12-30T01:00:00;2020-06-21T02:00:00;2020-06-30T02:00:00;Deaths per week by 5-year age group, sex and canton (CSV file);en;2020-07-02T11:27:40.643168;CSV;NonCommercialAllowed-CommercialWithPermission-ReferenceRequired;active;https://www.bfs.admin.ch/bfsstatic/dam/assets/13508367/master;https://www.bfs.admin.ch/bfsstatic/dam/assets/13508367/master;4d032569-e057-4806-b766-71786411b6ad;PIVOT
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei8;BFS/OFS;Schweiz;2020-07-02T11:27:40.632066;2020-07-04T01:09:30.183941;2019-12-30T01:00:00;2020-06-21T02:00:00;2020-06-30T02:00:00;Deaths per week by 5-year age group, sex and canton (CSV file);en;2020-07-02T11:27:40.643168;CSV;NonCommercialAllowed-CommercialWithPermission-ReferenceRequired;active;https://www.bfs.admin.ch/bfsstatic/dam/assets/13508367/master;https://www.bfs.admin.ch/bfsstatic/dam/assets/13508367/master;433e129b-54fa-4ffb-b4fa-4967003e9039;PIVOT
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei8;BFS/OFS;Kantone;2020-07-02T11:27:40.632066;2020-07-06T15:33:31.498143;2019-12-30T01:00:00;2020-06-21T02:00:00;2020-06-30T02:00:00;Deaths per week by 5-year age group, sex and canton (CSV file);en;2020-07-02T11:27:40.643168;CSV;NonCommercialAllowed-CommercialWithPermission-ReferenceRequired;active;https://www.bfs.admin.ch/bfsstatic/dam/assets/13508367/master;https://www.bfs.admin.ch/bfsstatic/dam/assets/13508367/master;f9763c8c-baf6-49d3-82c4-8c259d8336c3;PIVOT
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei8;BFS/OFS;Kantone;2020-07-02T11:27:40.632066;2020-07-08T02:47:19.596259;2019-12-30T01:00:00;2020-06-21T02:00:00;2020-06-30T02:00:00;Deaths per week by 5-year age group, sex and canton (CSV file);en;2020-07-02T11:27:40.643168;CSV;NonCommercialAllowed-CommercialWithPermission-ReferenceRequired;active;https://www.bfs.admin.ch/bfsstatic/dam/assets/13508367/master;https://www.bfs.admin.ch/bfsstatic/dam/assets/13508367/master;5cf68f49-abc1-4e35-9ddc-b7305919e5fa;PIVOT
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei9;BFS/OFS;Schweiz;2020-07-09T01:15:30.320057;2020-07-09T13:13:08.692152;2019-12-30T01:00:00;2020-06-28T02:00:00;2020-07-07T02:00:00;Deaths per week by 5-year age group, sex and canton (CSV file);en;2020-07-09T01:15:30.497918;CSV;NonCommercialAllowed-CommercialWithPermission-ReferenceRequired;active;https://www.bfs.admin.ch/bfsstatic/dam/assets/13567640/master;https://www.bfs.admin.ch/bfsstatic/dam/assets/13567640/master;d43eaf68-b7c6-4c8a-bf07-2cc0fa991508;PIVOT
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei9;BFS/OFS;Kantone;2020-07-09T01:15:30.320057;2020-07-10T15:48:52.994998;2019-12-30T01:00:00;2020-06-28T02:00:00;2020-07-07T02:00:00;Deaths per week by 5-year age group, sex and canton (CSV file);en;2020-07-09T01:15:30.497918;CSV;NonCommercialAllowed-CommercialWithPermission-ReferenceRequired;active;https://www.bfs.admin.ch/bfsstatic/dam/assets/13567640/master;https://www.bfs.admin.ch/bfsstatic/dam/assets/13567640/master;a9d76f55-0a69-4746-bf67-2650a498fa43;PIVOT
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei9;BFS/OFS;Schweiz;2020-07-09T01:15:30.320057;2020-07-14T02:17:26.662451;2019-12-30T01:00:00;2020-06-28T02:00:00;2020-07-07T02:00:00;Deaths per week by 5-year age group, sex and canton (CSV file);en;2020-07-09T01:15:30.497918;CSV;NonCommercialAllowed-CommercialWithPermission-ReferenceRequired;active;https://www.bfs.admin.ch/bfsstatic/dam/assets/13567640/master;https://www.bfs.admin.ch/bfsstatic/dam/assets/13567640/master;d3de7efc-8c35-41d2-9eeb-718b29ba3ae5;PIVOT
