DOWNLOAD,TIME_PERIOD,GEO,AGE,SEX,OBS_STATUS,OBS_VALUE,YEAR,CW,VALUE
2021-02-02T12:41:01,2021-W01,CH,_T,T,P,1729,2021,01,1729
2021-02-02T12:41:01,2021-W01,CH011,_T,T,P,83,2021,01,83
2021-02-02T12:41:01,2021-W01,CH021,_T,T,P,254,2021,01,254
2021-02-02T12:41:01,2021-W01,CH040,_T,T,P,289,2021,01,289
2021-02-02T12:41:01,2021-W01,CH070,_T,T,P,93,2021,01,93
2021-02-02T12:41:01,2021-W02,CH,_T,T,P,1535,2021,02,1535
2021-02-02T12:41:01,2021-W02,CH011,_T,T,P,54,2021,02,54
2021-02-02T12:41:01,2021-W02,CH021,_T,T,P,169,2021,02,169
2021-02-02T12:41:01,2021-W02,CH040,_T,T,P,279,2021,02,279
2021-02-02T12:41:01,2021-W02,CH070,_T,T,P,87,2021,02,87
2021-02-03T07:04:04,2021-W02,CH,_T,T,P,1664,2021,02,1664
2021-02-03T07:04:04,2021-W02,CH011,_T,T,P,114,2021,02,114
2021-02-03T07:04:04,2021-W02,CH021,_T,T,P,173,2021,02,173
2021-02-03T07:04:04,2021-W02,CH040,_T,T,P,287,2021,02,287
2021-02-03T07:04:04,2021-W02,CH070,_T,T,P,89,2021,02,89
2021-02-03T07:04:04,2021-W03,CH,_T,T,P,1555,2021,03,1555
2021-02-03T07:04:04,2021-W03,CH011,_T,T,P,56,2021,03,56
2021-02-03T07:04:04,2021-W03,CH021,_T,T,P,234,2021,03,234
2021-02-03T07:04:04,2021-W03,CH040,_T,T,P,273,2021,03,273
2021-02-03T07:04:04,2021-W03,CH070,_T,T,P,80,2021,03,80
2021-02-12T10:42:35,2021-W03,CH,_T,T,P,1648,2021,03,1648
2021-02-12T10:42:35,2021-W03,CH011,_T,T,P,96,2021,03,96
2021-02-12T10:42:35,2021-W03,CH021,_T,T,P,234,2021,03,234
2021-02-12T10:42:35,2021-W03,CH040,_T,T,P,278,2021,03,278
2021-02-12T10:42:35,2021-W03,CH070,_T,T,P,85,2021,03,85
2021-02-12T10:42:35,2021-W04,CH,_T,T,P,1438,2021,04,1438
2021-02-12T10:42:35,2021-W04,CH011,_T,T,P,90,2021,04,90
2021-02-12T10:42:35,2021-W04,CH021,_T,T,P,221,2021,04,221
2021-02-12T10:42:35,2021-W04,CH040,_T,T,P,229,2021,04,229
2021-02-12T10:42:35,2021-W04,CH070,_T,T,P,82,2021,04,82
2021-02-24T18:00:48,2021-W05,CH,_T,T,P,1326,2021,05,1326
2021-02-24T18:00:48,2021-W05,CH011,_T,T,P,86,2021,05,86
2021-02-24T18:00:48,2021-W05,CH021,_T,T,P,178,2021,05,178
2021-02-24T18:00:48,2021-W05,CH040,_T,T,P,237,2021,05,237
